year,college_code,college_name,branch_code,branch_name,college_status,stage,level,category,gender,cutoff_rank,percentile
2025,01002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,OPEN,All,28216,91.7377622
2025,01002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,NT2,All,55787,83.2058578
2025,01002,"Government College of Engineering, Amravati",19110,Civil Engineering,Government Autonomous,I,State Level,OBC,All,44981,86.6751751
2025,01002,"Government College of Engineering, Amravati",24210,Computer Science and Engineering,Government Autonomous,I,State Level,DEF_OPEN,All,27996,91.7968608
2025,01002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,OPEN,All,13465,96.1512986
2025,01002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,NT2,All,24489,92.8770798
2025,01002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,OPEN,Female,15196,95.635667
2025,01002,"Government College of Engineering, Amravati",24610,Information Technology,Government Autonomous,I,State Level,EWS,All,25512,92.5540912
2025,01002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,OPEN,All,25688,92.52184
2025,01002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,OBC,All,28160,91.7513251
2025,01002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,SEBC,All,50107,85.0571556
2025,01002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,OBC,Female,21656,93.7361801
2025,01002,"Government College of Engineering, Amravati",29310,Electrical Engineering,Government Autonomous,I,State Level,EWS,All,62811,81.0133535
2025,01002,"Government College of Engineering, Amravati",37210,Electronics and Telecommunication Engg,Government Autonomous,I,State Level,OPEN,All,14458,95.8324651
2025,01002,"Government College of Engineering, Amravati",37210,Electronics and Telecommunication Engg,Government Autonomous,I,State Level,SC,All,34764,89.8231024
2025,01002,"Government College of Engineering, Amravati",37210,Electronics and Telecommunication Engg,Government Autonomous,I,State Level,VJ,All,57875,82.4521073
2025,01002,"Government College of Engineering, Amravati",37210,Electronics and Telecommunication Engg,Government Autonomous,I,State Level,SEBC,All,34019,90.0175917
2025,01002,"Government College of Engineering, Amravati",37210,Electronics and Telecommunication Engg,Government Autonomous,I,State Level,OPEN,Female,16085,95.3847746
2025,01002,"Government College of Engineering, Amravati",37210,Electronics and Telecommunication Engg,Government Autonomous,I,State Level,DEF_SEBC,All,113654,61.6834321
2025,01002,"Government College of Engineering, Amravati",37210,Electronics and Telecommunication Engg,Government Autonomous,I,State Level,EWS,All,33700,90.0917161
2025,01002,"Government College of Engineering, Amravati",46610,Instrumentation Engineering,Government Autonomous,I,State Level,OPEN,All,31618,90.668828
2025,01002,"Government College of Engineering, Amravati",46610,Instrumentation Engineering,Government Autonomous,I,State Level,VJ,All,114704,60.9090909
2025,01002,"Government College of Engineering, Amravati",46610,Instrumentation Engineering,Government Autonomous,I,State Level,OBC,All,34378,89.861767
2025,01002,"Government College of Engineering, Amravati",46610,Instrumentation Engineering,Government Autonomous,I,State Level,DEF_OPEN,All,174647,26.7336064
2025,01002,"Government College of Engineering, Amravati",46610,Instrumentation Engineering,Government Autonomous,I,State Level,EWS,All,67532,79.6033896
2025,01002,"Government College of Engineering, Amravati",46610,Instrumentation Engineering,Government Autonomous,"I-Non
PWD",State Level,PWD_OPEN,All,35412,89.5868952
2025,01002,"Government College of Engineering, Amravati",61210,Mechanical Engineering,"Government, Autonomous",I,State Level,OPEN,All,34696,89.8231024
2025,01002,"Government College of Engineering, Amravati",61210,Mechanical Engineering,"Government, Autonomous",I,State Level,NT3,All,57142,82.837277
2025,01002,"Government College of Engineering, Amravati",61210,Mechanical Engineering,"Government, Autonomous",I,State Level,OPEN,Female,35067,89.682715
2025,01002,"Government College of Engineering, Amravati",61210,Mechanical Engineering,"Government, Autonomous",I,State Level,TFWS,All,43009,87.3029561
2025,01002,"Government College of Engineering, Amravati",61210,Mechanical Engineering,"Government, Autonomous",II,State Level,ST,Female,134539,51.57164
2025,01002,"Government College of Engineering, Amravati",61210,Mechanical Engineering,"Government, Autonomous","I-Non
Defence",State Level,DEF_OPEN,All,39556,88.2544975
2025,01005,"Sant Gadge Baba Amravati University,Amravati",50310,Food Technology,University Department,I,Home University Level,OBC,All,80909,76.7694659
